username,email,password,pin,phone,dob,nationality,pan,city,pincode,User_ID,Account_Age_Days,Location,Device_Type,Payment_Method,Transaction_Amount,Transaction_Frequency,Obfuscation_Level,Synthetic_Identity,Fraudulent,IP_Address,Email_Domain,Time_Between_Txns,Avg_Txn_Amount,Transaction_Location,Account_Number,Bank_Name,IFSC_Code,Account_Status
zhora,riya16@kata.com,@0NqRgJMc4,1621,08932832938,1980-12-18,Indian,GRKCA9559Q,Panihati,533521,9a5777a8-fb03-4298-8198-702209f8b3e3,2192,India,Desktop,UPI,905.42,70,Low,False,False,176.104.186.144,Bangalore,37.41,99.94,India,910360447988,BOB,BOB515407,Active
raghav60,ysodhi@choudhury.com,38eT_1Zl&0,5932,+910252635688,1984-04-07,Indian,UGIFT1947A,Gaya,976339,5331e78c-227d-4e88-b98c-8fe7c76a2ee9,3490,India,Desktop,Net Banking,702.52,95,Low,False,False,210.191.153.1,Mumbai,10.49,56.68,India,807304763969,ICICI,ICICI434231,Active
kmammen,nishith00@batta.info,*0L8NW9k04,6757,08642519160,1965-08-18,Indian,GKMYJ2628G,Tezpur,671772,04191b6f-a944-447b-9eef-1d91e56cb1e5,1342,India,Tablet,Credit Card,251.54,2,High,False,False,138.50.78.192,India,83.95,81.8,India,283177405292,HDFC,HDFC294453,Active
oseth,manihansh@hotmail.com,5E%8jSQzyi,3120,4010536627,1987-04-19,Indian,OWPAZ7367H,Darbhanga,161855,52a1a2bb-26e4-4fc7-9957-197a45f84184,4486,India,Desktop,UPI,717.9,41,Low,False,False,74.183.70.128,Mumbai,23.8,23.22,India,734049423132,PNB,PNB429872,Active
surasamar,trishasagar@desai-barad.com,P^@4z3OvY$,5728,01984330502,1992-02-27,Indian,JWLNP8186F,Gudivada,362753,6b8c6361-3ab5-4f3c-a457-cb2eeacb2413,3124,India,Tablet,Credit Card,846.24,2,Low,False,False,197.69.77.206,Mumbai,42.84,79.03,India,443676490317,PNB,PNB774245,Active
taran30,kartik72@ghose.biz,ld$MhccE#8,3324,06049356671,1968-08-04,Indian,KJUIU5810G,Tumkur,627374,ed84a946-f2f9-455b-aaf8-5836d35047ec,583,India,Desktop,Credit Card,710.46,62,Medium,False,False,96.214.57.227,India,75.09,24.28,India,465816792579,SBI,SBI160701,Active
hdeshpande,msaini@suri.com,xZo)6J0pC#,4525,02267308417,2006-03-22,Indian,WHYAP7287X,Miryalaguda,182144,e0748a1b-e0f3-4a98-a389-d6f43462fbc8,2405,India,Desktop,Credit Card,665.21,4,Low,False,False,36.118.199.39,Kolkata,36.99,27.32,India,788034698639,BOB,BOB960334,Active
varmaivana,shaan07@agarwal-raja.info,(zMG6YqLYQ,7658,05518885203,2000-12-10,Indian,BSAUP7174V,Srinagar,704305,daeafa67-d3bd-4b49-8b4f-b71b0e9c1335,1024,India,Tablet,Net Banking,640.78,1,Low,False,False,165.249.166.231,Bangalore,63.37,56.86,India,517046017614,HDFC,HDFC228696,Active
tariniram,johalhimmat@wable.net,$KfLn60mO2,6325,00448551797,1991-10-11,Indian,HDNOR6808Q,Hazaribagh,100010,dfb1a269-ff07-4d0f-96e7-39c01d3035af,2950,India,Tablet,UPI,617.97,99,Medium,False,False,86.212.87.48,Delhi,43.21,64.45,India,720621739582,HDFC,HDFC794046,Suspended
hazelravi,mlall@gmail.com,R@4QSiYNPB,5555,02752004960,1978-08-05,Indian,QUYBC0569A,Moradabad,119371,d1243efe-21a1-447c-8be0-565c6b734394,3202,India,Mobile,Net Banking,731.34,35,Low,False,False,128.81.14.44,Bangalore,63.16,16.4,India,780530882580,AXIS,AXIS908035,Active
fsen,vaidyamadhav@rastogi.com,@Mq3tlLf&5,5650,0607655287,1967-07-23,Indian,OCSLW1926B,Navi Mumbai,991208,02193f1b-efbb-45a0-82b0-b78cca09657f,2111,India,Desktop,Debit Card,716.99,28,Medium,True,False,118.46.136.185,Kolkata,42.76,78.42,India,752984092539,AXIS,AXIS221825,Active
inaaya-bhavsar,bainsdhanuk@swamy.org,#AP0HWw1oN,4893,08657743612,1992-05-22,Indian,IAGWV6591V,Hubli–Dharwad,862021,13ee276e-d2a2-423c-946c-acad520f383d,2264,India,Mobile,Debit Card,807.97,94,High,False,False,209.171.114.137,Chennai,83.45,27.95,India,631806973627,AXIS,AXIS610831,Closed
raunak55,gkrishnan@hotmail.com,xRQQLgxq@7,2451,7105495309,1991-04-21,Indian,XOKTS5461Q,Nanded,987062,0003f28e-38d8-48c5-b1f7-2c0771aafdd6,121,India,Tablet,UPI,425.95,60,High,False,False,125.102.124.111,Delhi,79.8,12.49,India,889914407890,PNB,PNB559868,Active
kaurhrishita,vmaster@gmail.com,$Rd01yZer3,9626,8987582040,1998-03-25,Indian,OMWQN7387M,Guntakal,611835,e53fc1fa-cd98-490f-ae62-af8f2de58438,2016,India,Tablet,Credit Card,778.41,38,Medium,False,False,3.31.64.192,India,41.2,38.7,India,768493770010,CITI,CITI414280,Active
lrama,jmallick@gmail.com,44Uu$s*+^I,2357,+914754960658,1967-09-21,Indian,ZFQZD9851N,Mirzapur,789238,7b8e8562-1bff-4e10-b16b-91454410ba56,2022,India,Desktop,Credit Card,749.93,15,Low,False,False,217.77.127.219,Kolkata,40.05,51.37,India,340129818174,AXIS,AXIS251641,Active
dsodhi,yashvi86@roy.info,V4KonduX&a,1639,+919156831831,2000-12-20,Indian,FKCZK2549V,Singrauli,495952,ea91a316-d96e-4cd7-94c2-6364559c4445,2352,India,Desktop,Debit Card,510.91,100,Low,False,False,65.77.121.132,Delhi,35.1,39.58,India,974309483781,HDFC,HDFC533471,Active
kkhare,lankaheer@raja.biz,_A5^T(XvES,4048,+917688130503,1968-04-12,Indian,VBAHJ7961U,Baranagar,174388,f2f785f9-d0c5-4e56-8aae-febff14d248c,978,India,Tablet,Net Banking,384.28,53,High,False,False,89.8.192.122,Delhi,52.87,15.93,India,250250851777,SBI,SBI813676,Active
shanaya75,aayushsama@gmail.com,N@7NXD4)vv,6104,7705151475,2004-07-14,Indian,QZYVG9544B,Raiganj,316246,3c3570ac-3fef-4ed8-9f65-6f9cc776080f,1447,India,Mobile,Credit Card,490.41,12,Low,False,False,111.207.69.228,Kolkata,35.12,62.07,India,796817062014,ICICI,ICICI649415,Active
prerakbatra,shanayasengupta@magar.com,(#c9J*tTdc,7643,03867456179,1957-11-28,Indian,MKUNT0430U,Bokaro,909429,b2db92a5-a5ad-4e1f-8a56-f3efd9837dcb,4694,India,Tablet,Net Banking,480.44,25,Medium,False,False,100.41.234.215,Bangalore,31.14,66.72,India,343754540743,HSBC,HSBC544124,Active
kiaanwagle,gabarasha@basu.com,Z@)XC0CyB#,2502,02084547460,2003-05-21,Indian,TNCQG7157A,Sambalpur,964152,f3d3e41d-493c-4696-b736-b766df63425b,2220,India,Mobile,UPI,741.98,26,High,False,False,92.107.114.8,Bangalore,77.37,94.55,India,619802976739,CITI,CITI210258,Closed
devanzain,vihaan59@subramanian.org,(f6MDnJG#9,6024,08567791772,1989-12-30,Indian,EWOPL4318X,Mehsana,856544,17d15f6e-ab78-4b8d-8893-de2e6f8d6aff,2556,India,Tablet,Credit Card,498.01,30,High,False,False,50.241.217.119,India,64.52,37.67,India,780015640782,IDFC,IDFC582812,Active
mishtisagar,prerak54@devan-sama.com,+b63JO5w+J,8717,+914994471227,1955-03-15,Indian,GIVXD8775V,Silchar,945483,7859413e-178c-4c57-8958-681f891c5e91,1083,India,Mobile,Debit Card,583.1,74,Low,False,False,101.85.136.223,India,18.95,59.77,India,526251279181,ICICI,ICICI324434,Active
ritvikmani,mhalder@vaidya.com,!wr88ZKn1f,6821,05843857800,1969-11-12,Indian,NZHUD5620U,Moradabad,273390,3852e386-23af-4e42-ba5b-4afe3d47f322,4412,India,Desktop,Credit Card,366.77,54,High,False,False,93.118.52.74,India,11.54,35.76,India,825877323415,IDFC,IDFC701375,Active
